Seed 	 Nb Nodes 	 Nb altruists 	 Nb pairs 	 Nb arcs 	 Nb arcs PRA80 	 Nb Cycles 	Nb Chains 	 Nb Cycles and Chains 	Max node fail 	 Max arc fail 	 Max arc PRA80 fail 	Node weight PRA0_80 	 Node weigt PRA80_100 	L Cycle 	 L Chain 	 Obj value 	 First stage obj value 	Matching ub 	Nb matches det 	 Nb matches RE 	 Nb PRA80 det 	 Nb PRA80 RE 	Nb transplants det 	 Nb transplants recourse 	 Nb transplants PRA80 det 	 Nb transplants PRA80 recourse 	Total time 	 Scenarios generated 	 Solution values and adversary values
4	100	4	96	2365	127	2010	935073	937083	1	0	0	1	1	3	5	62	7	12	0	0	0	0	0	0	0	0	0	0	0	
5	100	3	97	2001	12	1563	677587	679150	1	0	0	1	1	3	5	39	6	5	0	0	0	0	0	0	0	0	0	0	0	
6	100	2	98	1662	83	741	49780	50521	1	0	0	1	1	3	5	38	7	6	0	0	1	0	0	0	0	0	0	0	0	
7	100	3	97	3108	74	7764	3235101	3242865	1	0	0	1	1	3	5	68	15	9	0	0	0	1	0	0	0	0	0	0	0	
8	100	6	94	2381	59	3799	2456639	2460438	1	0	0	1	1	3	5	57	13	7	0	2	1	2	0	0	0	0	0	0	0	
9	100	9	91	2839	35	6192	6930447	6936639	1	0	0	1	1	3	5	61	15	6	0	2	2	1	0	0	0	0	0	0	0	
10	100	5	95	2797	63	4217	2878692	2882909	1	0	0	1	1	3	5	63	8	11	0	2	0	0	0	0	0	0	0	0	0	
11	100	1	99	2783	49	2914	680436	683350	1	0	0	1	1	3	5	61	10	13	0	0	1	0	0	0	0	0	0	0	0	
12	100	5	95	2421	106	2524	1184510	1187034	1	0	0	1	1	3	5	66	8	12	0	2	0	0	0	0	0	0	0	0	0	
13	100	1	99	2605	92	4547	886289	890836	1	0	0	1	1	3	5	58	12	10	0	0	0	0	0	0	0	0	0	0	0	
14	100	5	95	2388	82	1478	1055222	1056700	1	0	0	1	1	3	5	50	6	9	0	0	0	1	0	0	0	0	0	0	0	
15	100	5	95	2438	132	1810	1098176	1099986	1	0	0	1	1	3	5	59	5	11	0	1	0	1	0	0	0	0	0	0	0	
16	100	3	97	2394	53	2727	826521	829248	1	0	0	1	1	3	5	49	7	9	0	1	0	1	0	0	0	0	0	0	0	
17	100	2	98	1851	71	1719	118522	120241	1	0	0	1	1	3	5	44	6	8	0	0	0	0	0	0	0	0	0	0	0	
18	100	6	94	2392	99	1271	1262551	1263822	1	0	0	1	1	3	5	61	6	11	0	2	1	0	0	0	0	0	0	0	0	
19	100	3	97	2403	70	4236	1248490	1252726	1	0	0	1	1	3	5	52	4	11	0	0	0	1	0	0	0	0	0	0	0	
20	100	3	97	2255	90	2917	1134941	1137858	1	0	0	1	1	3	5	54	9	9	0	1	0	0	0	0	0	0	0	0	0	
21	100	6	94	2176	91	2444	799806	802250	1	0	0	1	1	3	5	55	5	11	0	1	2	1	0	0	0	0	0	0	0	
22	100	6	94	1948	98	2396	1327392	1329788	1	0	0	1	1	3	5	56	11	7	0	3	1	0	0	0	0	0	0	0	0	
23	100	2	98	2391	77	3288	313185	316473	1	0	0	1	1	3	5	59	11	11	0	1	0	1	0	0	0	0	0	0	0	
24	100	5	95	2144	69	3309	1031586	1034895	1	0	0	1	1	3	5	49	12	5	0	2	0	0	0	0	0	0	0	0	0	
25	100	2	98	2298	73	3029	796797	799826	1	0	0	1	1	3	5	48	8	8	0	0	0	0	0	0	0	0	0	0	0	
26	100	4	96	2772	80	3454	1953320	1956774	1	0	0	1	1	3	5	62	10	10	0	0	1	2	0	0	0	0	0	0	0	
27	100	4	96	2208	51	2009	993213	995222	1	0	0	1	1	3	5	48	9	6	0	0	1	2	0	0	0	0	0	0	0	
28	100	4	96	2484	78	3887	1312427	1316314	1	0	0	1	1	3	5	64	10	11	0	1	1	0	0	0	0	0	0	0	0	
29	100	3	97	2562	78	3341	993256	996597	1	0	0	1	1	3	5	58	6	12	0	0	1	0	0	0	0	0	0	0	0	
