Seed 	 Nb Nodes 	 Nb altruists 	 Nb pairs 	 Nb arcs 	 Nb arcs PRA80 	 Nb Cycles 	Nb Chains 	 Nb Cycles and Chains 	Max node fail 	 Max arc fail 	 Max arc PRA80 fail 	Node weight PRA0_80 	 Node weigt PRA80_100 	L Cycle 	 L Chain 	 Obj value 	 First stage obj value 	Matching ub 	Nb matches det 	 Nb matches RE 	 Nb PRA80 det 	 Nb PRA80 RE 	Nb transplants det 	 Nb transplants recourse 	 Nb transplants PRA80 det 	 Nb transplants PRA80 recourse 	Total time 	 Scenarios generated 	 Solution values and adversary values
4	100	4	96	2365	127	2010	54724	56734	0	0	38	1	1	3	4	41	59	62	62	66	24	23				37.8759797	2	59	52	41	53	
5	100	3	97	2001	12	1563	43321	44884	0	0	3	1	1	3	4	7	37	40	37	40	5	5				12.5929851	2	37	35	7	34	
6	100	2	98	1662	83	741	4361	5102	0	0	24	1	1	3	4	30	38	39	38	40	16	13				2.3289977	2	38	30	30	33	
7	100	3	97	3108	74	7764	119155	126919	0	0	22	1	1	3	4	21	67	70	65	67	16	15				125.7896675	2	67	64	21	63	
8	100	6	94	2381	59	3799	113968	117767	0	0	17	1	1	3	4	33	59	63	57	63	16	14				72.4220048	2	59	54	33	55	
9	100	9	91	2839	35	6192	271280	277472	0	0	10	1	1	3	4	28	63	69	61	69	8	8				2823.8755431	3	63	60	64	60	28	60	
10	100	5	95	2797	63	4217	131993	136210	0	0	18	1	1	3	4	37	64	66	61	66	14	14				197.6100007	3	64	59	64	61	37	60	
11	100	1	99	2783	49	2914	33581	36495	0	0	14	1	1	3	4	42	61	62	61	62	12	11				15.1340011	2	61	54	42	54	
12	100	5	95	2421	106	2524	64676	67200	0	0	31	1	1	3	4	23	65	70	66	71	22	21				48.8400121	2	65	59	23	60	
13	100	1	99	2605	92	4547	38986	43533	0	0	27	1	1	3	4	28	58	59	58	59	14	14				21.7829869	2	58	55	28	55	
14	100	5	95	2388	82	1478	65289	66767	0	0	24	1	1	3	4	28	49	52	50	54	16	14				41.3829849	2	49	42	28	44	
15	100	5	95	2438	132	1810	66754	68564	0	0	39	1	1	3	4	35	61	64	59	64	21	21				57.2370003	2	61	54	35	55	
16	100	3	97	2394	53	2727	44257	46984	0	0	15	1	1	3	4	35	48	51	47	50	15	14				26.7620003	2	48	43	35	44	
17	100	2	98	1851	71	1719	7231	8950	0	0	21	1	1	3	4	35	43	45	43	45	14	13				3.9369865	2	43	36	35	37	
18	100	6	94	2392	99	1271	80176	81447	0	0	29	1	1	3	4	34	62	66	58	64	18	18				54.5609796	2	62	57	34	56	
19	100	3	97	2403	70	4236	56553	60789	0	0	21	1	1	3	4	27	51	53	50	52	17	17				31.8709808	2	51	46	27	44	
20	100	3	97	2255	90	2917	59441	62358	0	0	27	1	1	3	4	49	56	56	53	56	17	16				32.7489788	2	56	50	49	50	
21	100	6	94	2176	91	2444	45076	47520	0	0	27	1	1	3	4	36	54	59	53	59	19	18				25.5620011	2	54	47	36	47	
22	100	6	94	1948	98	2396	74264	76660	0	0	29	1	1	3	4	23	53	59	54	60	20	17				48.2600007	2	53	44	23	47	
23	100	2	98	2391	77	3288	16030	19318	0	0	23	1	1	3	4	36	59	60	59	61	17	14				10.6349823	2	59	54	36	53	
24	100	5	95	2144	69	3309	51610	54919	0	0	20	1	1	3	4	37	49	53	49	53	17	16				58.5759988	3	49	45	50	46	37	47	
25	100	2	98	2298	73	3029	40386	43415	0	0	21	1	1	3	4	39	46	48	46	48	17	17				19.6940002	2	46	41	39	42	
26	100	4	96	2772	80	3454	94955	98409	0	0	24	1	1	3	4	39	65	66	62	66	18	16				60.378986	2	65	58	39	59	
27	100	4	96	2208	51	2009	55497	57506	0	0	15	1	1	3	4	15	46	50	47	51	13	12				56.8549965	3	46	43	48	46	15	45	
28	100	4	96	2484	78	3887	61579	65466	0	0	23	1	1	3	4	48	61	65	62	65	19	18				46.8760004	2	61	55	48	58	
29	100	3	97	2562	78	3341	49040	52381	0	0	23	1	1	3	4	33	57	60	56	59	15	15				28.333001	2	57	52	33	52	
